Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Inorganic Anion Transmembrane Transport (GO:0098661),-7.430960e-01,-1.529211e+00,5.235602e-03,2.302888e-01,9.970000e-01,10/47,9.12%,GABRG2;GLRA3;GABRA4;SLC1A1;GLRB;SLC25A3;GLRA1;GABRA1;SLC20A1;GABRB3
prerank,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),-8.596967e-01,-1.529014e+00,3.629764e-03,2.261562e-01,9.970000e-01,4/19,1.57%,IL1B;TNF;KLF2;CD36
prerank,Cellular Response To Lipopolysaccharide (GO:0071222),-6.766482e-01,-1.527057e+00,8.375209e-03,2.295348e-01,9.970000e-01,18/88,13.22%,IL1B;IL1A;TNF;CCL3;CXCL10;CD80;ZFP36;IL10;CCL2;MYD88;TNFAIP3;NOD2;PPM1E;LYN;LDOC1;NLRP3;ZC3H12A;TNIP2
prerank,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),-8.426414e-01,-1.526984e+00,8.818342e-03,2.250613e-01,9.970000e-01,3/20,3.11%,PINK1;UBB;ATP5IF1
prerank,Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732),-8.267687e-01,-1.526172e+00,7.366483e-03,2.239862e-01,9.970000e-01,9/23,10.09%,DMTN;THY1;OCRL;SOCS3;PARP14;SAMSN1;SH2B3;PTPN2;PPP2R1A
prerank,Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),-8.331754e-01,-1.525256e+00,1.234568e-02,2.229329e-01,9.980000e-01,5/21,5.26%,MLLT11;MOAP1;PINK1;BNIP3;PPIF
prerank,Regulation Of Cell Morphogenesis (GO:0022604),8.006544e-01,1.524641e+00,1.357466e-02,3.463177e-01,1.000000e+00,5/27,5.38%,NTNG1;FERMT2;CD44;SPARC;SH3D19
prerank,Negative Regulation Of DNA Recombination (GO:0045910),-8.026985e-01,-1.523827e+00,8.944544e-03,2.244094e-01,9.980000e-01,4/26,5.10%,POLQ;TERF2IP;INSL6;BLM
prerank,Regulation Of Cellular Metabolic Process (GO:0031323),-7.655502e-01,-1.522827e+00,1.301115e-02,2.238969e-01,9.980000e-01,3/38,1.61%,SLC2A6;PINK1;PGAM1
prerank,Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066),6.694061e-01,1.521716e+00,7.125891e-03,3.515289e-01,1.000000e+00,20/67,8.70%,PLXNB1;RAPGEF3;EGFR;HGF;ERBB3;NTRK3;ROR1;FGF2;ROR2;PDGFRB;PPP1R16B;IGF1R;SOX9;DAB2IP;TGFB2;FGFR1;DDR2;NTRK2;PTPN13;INSR
